Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Sun, 12 Feb 2012",6N,2,WAL v SCO,27-13,3:1,4-0,"Millennium Stadium, Cardiff",
"Sat, 25 Feb 2012",6N,3,IRE v ITA,42-10,5:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 25 Feb 2012",6N,3,ENG v WAL,12-19,0:1,1-4,"Twickenham, London",
"Sun, 26 Feb 2012",6N,3,SCO v FRA,17-23,2:2,1-4,"Murrayfield, Edinburgh",
"Sun, 04 Mar 2012",6N,2,FRA v IRE,17-17,1:2,2-2,"Stade de France, Paris",
"Sat, 10 Mar 2012",6N,4,WAL v ITA,24-3,2:0,4-0,"Millennium Stadium, Cardiff",
"Sat, 10 Mar 2012",6N,4,IRE v SCO,32-14,4:1,5-0,"Lansdowne Rd, Dublin",
"Sun, 11 Mar 2012",6N,4,FRA v ENG,22-24,1:3,1-4,"Stade de France, Paris",
"Sat, 17 Mar 2012",6N,5,ITA v SCO,13-6,1:0,4-1,"Olympic Stadium, Rome",
"Sat, 17 Mar 2012",6N,5,WAL v FRA,16-9,1:0,4-1,"Millennium Stadium, Cardiff",
"Sat, 17 Mar 2012",6N,5,ENG v IRE,30-9,2:0,4-0,"Twickenham, London",
"Tue, 05 Jun 2012","ST,HC",,AUS v SCO,6-9,0:0,1-4,Newcastle,
"Sat, 09 Jun 2012",ST,,ARG v ITA,37-22,4:3,5-0,San Juan,
"Sat, 09 Jun 2012",ST,1,SAF v ENG,22-17,2:1,4-1,"Kings Park Stadium, Durban",
"Sat, 09 Jun 2012",ST,1,NZL v IRE,42-10,5:1,5-0,"Eden Park, Auckland",
"Sat, 09 Jun 2012",ST,1,AUS v WAL,27-19,3:1,4-0,"Suncorp Stadium, Brisbane",
"Fri, 15 Jun 2012",,,CAN v ITA,16-25,1:1,0-4,"BMO Field, Toronto",
"Sat, 16 Jun 2012",ST,,FIJ v SCO,25-37,3:4,0-5,"Lautoka, Fiji",
"Sat, 16 Jun 2012",ST,2,SAF v ENG,36-27,4:3,5-0,"Ellis Park, Johannesburg",
"Sat, 16 Jun 2012",ST,1,ARG v FRA,23-20,2:1,4-1,Cordoba,
"Sat, 16 Jun 2012",ST,2,NZL v IRE,22-19,1:1,4-1,"Rugby League Pk, Christchurch",
"Sat, 16 Jun 2012",ST,2,AUS v WAL,25-23,1:2,4-1,"Colonial Stadium, Melbourne",
"Sat, 23 Jun 2012",ST,3,AUS v WAL,20-19,1:1,4-1,"Football Stadium, Sydney",
"Sat, 23 Jun 2012",ST,,SAM v SCO,16-17,1:2,1-4,Apia,
"Sat, 23 Jun 2012",ST,3,SAF v ENG,14-14,1:1,2-2,"N. Mandela Bay, Pt Elizabeth",
"Sat, 23 Jun 2012",ST,2,ARG v FRA,10-49,1:6,0-5,Tucuman,
"Sat, 23 Jun 2012",ST,3,NZL v IRE,60-0,9:0,5-0,"Waikato Stadium, Hamilton",
"Sat, 23 Jun 2012",,,USA v ITA,10-30,1:3,0-4,Houston,
"Sat, 18 Aug 2012","RC,BC",n,AUS v NZL,19-27,1:2,0-4,"Stadium Australia, Sydney",
"Sat, 18 Aug 2012",RC,,SAF v ARG,27-6,3:0,4-0,"Newlands, Cape Town",
"Sat, 25 Aug 2012",RC,,ARG v SAF,16-16,1:1,2-2,Mendoza,
"Sat, 25 Aug 2012","RC,BC",n,NZL v AUS,22-0,1:0,4-0,"Eden Park, Auckland",
"Sat, 08 Sep 2012","RC,MP",a,AUS v SAF,26-19,2:1,4-1,"Subiaco Oval, Perth_AUS",
"Sat, 08 Sep 2012",RC,,NZL v ARG,21-5,2:1,4-0,"Westpac Trust, Wellington",
"Sat, 15 Sep 2012",RC,,AUS v ARG,23-19,2:2,4-1,"Skilled Park, Gold Coast",
"Sat, 15 Sep 2012","RC,FC",n,NZL v SAF,21-11,2:1,4-0,"Otago Stadium, Dunedin",
"Sat, 29 Sep 2012","RC,MP",a,SAF v AUS,31-8,5:1,5-0,"Loftus Versfeld, Pretoria",
"Sat, 29 Sep 2012",RC,,ARG v NZL,15-54,2:7,0-5,La Plata,
"Sat, 06 Oct 2012","RC,FC",,SAF v NZL,16-32,1:4,0-5,"Soweto, Johannesburg",
"Sat, 06 Oct 2012",RC,,ARG v AUS,19-25,1:1,1-4,Rosario,
"Sat, 20 Oct 2012",BC,n,AUS v NZL,18-18,0:0,2-2,"Suncorp Stadium, Brisbane",
"Sat, 10 Nov 2012",AI,,FRA v AUS,33-6,3:0,4-0,"Stade de France, Paris",
"Sat, 10 Nov 2012",AI,,ENG v FIJ,54-12,7:2,5-0,"Twickenham, London",
"Sat, 10 Nov 2012",AI,,WAL v ARG,12-26,0:2,0-4,"Millennium Stadium, Cardiff",
"Sat, 10 Nov 2012",AI,,ITA v TON,28-23,3:2,4-1,Torino,
"Sat, 10 Nov 2012",AI,,IRE v SAF,12-16,0:1,1-4,"Lansdowne Rd, Dublin",
"Sun, 11 Nov 2012",AI,,SCO v NZL,22-51,3:6,0-5,"Murrayfield, Edinburgh",
"Fri, 16 Nov 2012",AI,,WAL v SAM,19-26,1:3,1-4,"Millennium Stadium, Cardiff",
"Sat, 17 Nov 2012","AI,CC",,ENG v AUS,14-20,1:1,1-4,"Twickenham, London",
"Sat, 17 Nov 2012",AI,,SCO v SAF,10-21,1:2,1-4,"Murrayfield, Edinburgh",
"Sat, 17 Nov 2012",AI,,ITA v NZL,10-42,1:5,0-5,"Olympic Stadium, Rome",
"Sat, 17 Nov 2012",AI,,FRA v ARG,39-22,3:1,4-0,Lille,
"Sat, 24 Nov 2012",AI,,WAL v NZL,10-33,2:3,0-4,"Millennium Stadium, Cardiff",
"Sat, 24 Nov 2012",AI,,IRE v ARG,46-24,7:2,5-0,"Lansdowne Rd, Dublin",
"Sat, 24 Nov 2012",AI,,ENG v SAF,15-16,0:1,1-4,"Twickenham, London",
"Sat, 24 Nov 2012",AI,,SCO v TON,15-21,0:2,1-4,Aberdeen,
"Sat, 24 Nov 2012",AI,,ITA v AUS,19-22,1:1,1-4,Bologna,
"Sat, 24 Nov 2012",AI,,FRA v SAM,22-14,1:2,4-0,"Stade de France, Paris",
"Sat, 01 Dec 2012","AI,HS",e,ENG v NZL,38-21,3:3,4-0,"Twickenham, London",
"Sat, 01 Dec 2012",AI,,WAL v AUS,12-14,0:1,1-4,"Millennium Stadium, Cardiff",
"Sat, 02 Feb 2013",6N,1,WAL v IRE,22-30,3:3,0-4,"Millennium Stadium, Cardiff",
"Sat, 02 Feb 2013","6N,CA",1,ENG v SCO,38-18,4:2,5-0,"Twickenham, London",
"Sun, 03 Feb 2013",6N,1,ITA v FRA,23-18,2:2,4-1,"Olympic Stadium, Rome",
"Sat, 09 Feb 2013",6N,2,SCO v ITA,34-10,4:1,5-0,"Murrayfield, Edinburgh",
"Sat, 09 Feb 2013",6N,2,FRA v WAL,6-16,0:1,0-4,"Stade de France, Paris",
"Sun, 10 Feb 2013",6N,2,IRE v ENG,6-12,0:0,1-4,"Lansdowne Rd, Dublin",
"Sat, 23 Feb 2013",6N,3,ITA v WAL,9-26,0:2,0-4,"Olympic Stadium, Rome",
"Sat, 23 Feb 2013",6N,3,ENG v FRA,23-13,1:1,4-0,"Twickenham, London",
"Sun, 24 Feb 2013",6N,3,SCO v IRE,12-8,0:1,4-1,"Murrayfield, Edinburgh",
"Sat, 09 Mar 2013",6N,4,SCO v WAL,18-28,0:1,0-4,"Murrayfield, Edinburgh",
"Sat, 09 Mar 2013",6N,4,IRE v FRA,13-13,1:1,2-2,"Lansdowne Rd, Dublin",
"Sun, 10 Mar 2013",6N,4,ENG v ITA,18-11,0:1,4-1,"Twickenham, London",
"Sat, 16 Mar 2013",6N,5,WAL v ENG,30-3,2:0,4-0,"Millennium Stadium, Cardiff",
"Sat, 16 Mar 2013",6N,5,ITA v IRE,22-15,1:0,4-1,"Olympic Stadium, Rome",
"Sat, 16 Mar 2013",6N,5,FRA v SCO,23-16,2:1,4-1,"Stade de France, Paris",
"Sat, 08 Jun 2013",ST,1,JAP v WAL,18-22,2:1,1-4,"Hanazono Stadium, Osaka",
"Sat, 08 Jun 2013",ST,,SAM v SCO,27-17,3:1,4-0,"Kings Park Stadium, Durban",Y
"Sat, 08 Jun 2013",ST,1,ARG v ENG,3-32,0:4,0-5,Salta,
"Sat, 08 Jun 2013",ST,,USA v IRE,12-15,0:0,1-4,Houston,
"Sat, 08 Jun 2013",ST,,SAF v ITA,44-10,5:1,5-0,"Kings Park Stadium, Durban",
"Sat, 08 Jun 2013","ST,DG",1,NZL v FRA,23-13,2:1,4-0,"Eden Park, Auckland",
"Sat, 15 Jun 2013",ST,2,JAP v WAL,23-8,2:1,4-0,"Prince Chichibu Stadium, Tokyo",
"Sat, 15 Jun 2013",ST,,ITA v SAM,10-39,1:5,0-5,"Mbombela Stadium, Nelspruit",Y
"Sat, 15 Jun 2013",ST,2,ARG v ENG,26-51,2:7,0-5,"Velez Sarsfield, Buenos Aires",
"Sat, 15 Jun 2013",ST,,SAF v SCO,30-17,3:2,4-0,"Mbombela Stadium, Nelspruit",
"Sat, 15 Jun 2013","ST,DG",2,NZL v FRA,30-0,3:0,4-0,"Rugby League Pk, Christchurch",
"Sat, 15 Jun 2013",ST,,CAN v IRE,14-40,1:6,0-5,"BMO Field, Toronto",
"Wed, 19 Jun 2013",,,JAP v CAN,16-13,1:1,4-1,Nagoya,
"Sat, 22 Jun 2013",LT,1,AUS v LIO,21-23,2:2,1-4,"Suncorp Stadium, Brisbane",
"Sat, 22 Jun 2013",ST,,ITA v SCO,29-30,2:3,1-4,"Loftus Versfeld, Pretoria",Y
"Sat, 22 Jun 2013",ST,,ARG v GEO,29-18,1:0,4-0,San Juan,
"Sat, 22 Jun 2013",ST,,SAF v SAM,56-23,8:2,5-0,"Loftus Versfeld, Pretoria",
"Sat, 22 Jun 2013","ST,DG",3,NZL v FRA,24-9,2:0,4-0,New Plymouth,
"Sun, 23 Jun 2013",,,JAP v USA,38-20,6:3,5-0,"Prince Chichibu Stadium, Tokyo",
"Sat, 29 Jun 2013",LT,2,AUS v LIO,16-15,1:0,4-1,"Colonial Stadium, Melbourne",
"Sat, 06 Jul 2013",LT,3,AUS v LIO,16-41,1:4,0-5,"Stadium Australia, Sydney",
"Sat, 17 Aug 2013","RC,BC",n,AUS v NZL,29-47,2:6,0-5,"Stadium Australia, Sydney",
"Sat, 17 Aug 2013",RC,,SAF v ARG,73-13,9:1,5-0,"Soweto, Johannesburg",
"Sat, 24 Aug 2013",RC,,ARG v SAF,17-22,2:1,1-4,Mendoza,
"Sat, 24 Aug 2013","RC,BC",n,NZL v AUS,27-16,2:1,4-0,"Westpac Trust, Wellington",
"Sat, 07 Sep 2013","RC,MP",a,AUS v SAF,12-38,0:4,0-5,"Suncorp Stadium, Brisbane",
"Sat, 07 Sep 2013",RC,,NZL v ARG,28-13,3:1,4-0,"Waikato Stadium, Hamilton",
"Sat, 14 Sep 2013",RC,,AUS v ARG,14-13,1:1,4-1,"Subiaco Oval, Perth_AUS",
"Sat, 14 Sep 2013","RC,FC",n,NZL v SAF,29-15,4:2,5-0,"Eden Park, Auckland",
"Sat, 28 Sep 2013","RC,MP",s,SAF v AUS,28-8,3:1,4-0,"Newlands, Cape Town",
"Sat, 28 Sep 2013",RC,,ARG v NZL,15-33,0:4,0-5,La Plata,
"Sat, 05 Oct 2013","RC,FC",n,SAF v NZL,27-38,4:5,1-5,"Ellis Park, Johannesburg",
"Sat, 05 Oct 2013",RC,,ARG v AUS,17-54,2:7,0-5,Rosario,
"Sat, 19 Oct 2013",BC,n,NZL v AUS,41-33,4:3,5-0,"Otago Stadium, Dunedin",
"Sat, 02 Nov 2013","AI,CC",e,ENG v AUS,20-13,2:1,4-1,"Twickenham, London",
"Sat, 02 Nov 2013",AI,,JAP v NZL,6-54,0:8,0-5,"Prince Chichibu Stadium, Tokyo",
"Sat, 09 Nov 2013","AI,DG",,FRA v NZL,19-26,1:2,1-4,"Stade de France, Paris",
"Sat, 09 Nov 2013",AI,,ITA v AUS,20-50,3:7,0-5,"Olympic Stadium, Rome",
"Sat, 09 Nov 2013",AI,,ENG v ARG,31-12,4:0,5-0,"Twickenham, London",
"Sat, 09 Nov 2013",AI,,SCO v JAP,42-17,6:2,5-0,"Murrayfield, Edinburgh",
"Sat, 09 Nov 2013",AI,,WAL v SAF,15-24,0:3,0-4,"Millennium Stadium, Cardiff",
"Sat, 09 Nov 2013",AI,,IRE v SAM,40-9,5:0,5-0,"Lansdowne Rd, Dublin",
"Sat, 16 Nov 2013",AI,,FRA v TON,38-18,4:2,5-0,"Stade de France, Paris",
"Sat, 16 Nov 2013",AI,,ITA v FIJ,37-31,4:5,5-2,Cremona,
"Sat, 16 Nov 2013","AI,HS",n,ENG v NZL,22-30,1:3,0-4,"Twickenham, London",
"Sat, 16 Nov 2013",AI,,WAL v ARG,40-6,4:0,5-0,"Millennium Stadium, Cardiff",
"Sat, 16 Nov 2013",AI,,IRE v AUS,15-32,0:4,0-5,"Lansdowne Rd, Dublin",
"Sun, 17 Nov 2013",AI,,SCO v SAF,0-28,0:4,0-5,"Murrayfield, Edinburgh",
"Fri, 22 Nov 2013",AI,,WAL v TON,17-7,2:1,4-0,"Millennium Stadium, Cardiff",
"Sat, 23 Nov 2013",AI,,FRA v SAF,10-19,1:1,0-4,"Stade de France, Paris",
"Sat, 23 Nov 2013",AI,,ITA v ARG,14-19,1:1,1-4,Naples,
"Sat, 23 Nov 2013","AI,HC",,SCO v AUS,15-21,0:2,1-4,"Murrayfield, Edinburgh",
"Sun, 24 Nov 2013",AI,,IRE v NZL,22-24,3:3,1-4,"Lansdowne Rd, Dublin",
"Sat, 30 Nov 2013",AI,,WAL v AUS,26-30,2:3,1-4,"Millennium Stadium, Cardiff",
"Sat, 01 Feb 2014",6N,1,WAL v ITA,23-15,2:2,4-0,"Millennium Stadium, Cardiff",
"Sat, 01 Feb 2014",6N,1,FRA v ENG,26-24,3:2,4-1,"Stade de France, Paris",
"Mon, 03 Feb 2014",6N,1,IRE v SCO,28-6,3:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 08 Feb 2014",6N,2,IRE v WAL,26-3,2:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 08 Feb 2014","6N,CA",2,SCO v ENG,0-20,0:2,0-4,"Murrayfield, Edinburgh",
"Sun, 09 Feb 2014",6N,2,FRA v ITA,30-10,3:1,4-0,"Stade de France, Paris",
"Fri, 21 Feb 2014",6N,3,WAL v FRA,27-6,2:0,4-0,"Millennium Stadium, Cardiff",
"Sat, 22 Feb 2014",6N,3,ITA v SCO,20-21,2:2,1-4,"Olympic Stadium, Rome",
"Sat, 22 Feb 2014",6N,3,ENG v IRE,13-10,1:1,4-1,"Twickenham, London",
"Sat, 08 Mar 2014",6N,4,IRE v ITA,46-7,7:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 08 Mar 2014",6N,4,SCO v FRA,17-19,2:1,1-4,"Murrayfield, Edinburgh",
"Sun, 09 Mar 2014",6N,4,ENG v WAL,29-18,2:0,4-0,"Twickenham, London",
"Sat, 15 Mar 2014",6N,5,ITA v ENG,11-52,1:7,0-5,"Olympic Stadium, Rome",
"Sat, 15 Mar 2014",6N,5,WAL v SCO,51-3,7:0,5-0,"Millennium Stadium, Cardiff",
"Sat, 15 Mar 2014",6N,5,FRA v IRE,20-22,2:3,1-4,"Stade de France, Paris",
"Sat, 07 Jun 2014",ST,1,AUS v FRA,50-23,7:2,5-0,"Suncorp Stadium, Brisbane",
"Sat, 07 Jun 2014",ST,,FIJ v ITA,25-14,3:2,4-0,"National Stadium, Suva",
"Sat, 07 Jun 2014",ST,,USA v SCO,6-24,0:2,0-4,Houston,
"Sat, 07 Jun 2014",ST,1,ARG v IRE,17-29,2:3,0-4,Resistencia,
"Sat, 07 Jun 2014","ST,HS",n,NZL v ENG,20-15,1:0,4-1,"Eden Park, Auckland",
"Sat, 14 Jun 2014",ST,2,AUS v FRA,6-0,0:0,4-1,"Colonial Stadium, Melbourne",
"Sat, 14 Jun 2014",ST,,SAM v ITA,15-0,0:0,4-0,Apia,
"Sat, 14 Jun 2014",ST,2,ARG v IRE,17-23,2:2,1-4,Tucuman,
"Sat, 14 Jun 2014",ST,,CAN v SCO,17-19,1:1,1-4,"BMO Field, Toronto",
"Sat, 14 Jun 2014",ST,1,SAF v WAL,38-16,5:1,5-0,"Kings Park Stadium, Durban",
"Sat, 14 Jun 2014","ST,HS",n,NZL v ENG,28-27,3:3,4-1,"Otago Stadium, Dunedin",
"Sat, 21 Jun 2014",ST,3,AUS v FRA,39-13,5:1,5-0,"Stadium Australia, Sydney",
"Sat, 21 Jun 2014",ST,,JAP v ITA,26-23,2:2,4-1,"Prince Chichibu Stadium, Tokyo",
"Sat, 21 Jun 2014",ST,,ARG v SCO,19-21,2:2,1-4,Cordoba,
"Sat, 21 Jun 2014",ST,2,SAF v WAL,31-30,4:3,5-1,"Mbombela Stadium, Nelspruit",
"Sat, 21 Jun 2014","ST,HS",n,NZL v ENG,36-13,5:1,5-0,"Waikato Stadium, Hamilton",
"Sat, 28 Jun 2014",ST,,SAF v SCO,55-6,8:0,5-0,"N. Mandela Bay, Pt Elizabeth",
"Sat, 16 Aug 2014","RC,BC",n,AUS v NZL,12-12,0:0,2-2,"Stadium Australia, Sydney",
"Sat, 16 Aug 2014",RC,,SAF v ARG,13-6,1:0,4-1,"Loftus Versfeld, Pretoria",
"Sat, 23 Aug 2014","RC,BC",n,NZL v AUS,51-20,6:2,5-0,"Eden Park, Auckland",
"Sat, 23 Aug 2014",RC,,ARG v SAF,31-33,3:3,1-4,Salta,
"Sat, 06 Sep 2014","RC,MP",s,AUS v SAF,24-23,2:1,4-1,"Subiaco Oval, Perth_AUS",
"Sat, 06 Sep 2014",RC,,NZL v ARG,28-9,4:0,5-0,Napier,
"Sat, 13 Sep 2014",RC,,AUS v ARG,32-25,3:3,4-1,"Skilled Park, Gold Coast",
"Sat, 13 Sep 2014","RC,FC",n,NZL v SAF,14-10,1:1,4-1,"Westpac Trust, Wellington",
"Sat, 27 Sep 2014","RC,MP",s,SAF v AUS,28-10,4:1,5-0,"Newlands, Cape Town",
"Sat, 27 Sep 2014",RC,,ARG v NZL,13-34,1:4,0-5,La Plata,
"Sat, 04 Oct 2014","RC,FC",n,SAF v NZL,27-25,3:3,4-1,"Ellis Park, Johannesburg",
"Sat, 04 Oct 2014",RC,,ARG v AUS,21-17,2:2,4-1,Mendoza,
"Sat, 18 Oct 2014",BC,n,AUS v NZL,28-29,3:4,1-5,"Suncorp Stadium, Brisbane",
"Sat, 01 Nov 2014",AI,,USA v NZL,6-74,00:12,0-5,Chicago,
"Fri, 07 Nov 2014",AI,,CAN v NAM,17-13,1:1,4-1,Colwyn Bay,Y
"Sat, 08 Nov 2014","AI,HS",n,ENG v NZL,21-24,2:3,1-4,"Twickenham, London",
"Sat, 08 Nov 2014",AI,,SCO v ARG,41-31,5:4,5-1,"Murrayfield, Edinburgh",
"Sat, 08 Nov 2014",AI,,WAL v AUS,28-33,4:3,2-4,"Millennium Stadium, Cardiff",
"Sat, 08 Nov 2014",AI,,ITA v SAM,24-13,2:1,4-0,Ascoli Piceno,
"Sat, 08 Nov 2014",AI,,GEO v TON,9-23,0:3,0-4,Tbilisi,
"Sat, 08 Nov 2014",,,ROM v USA,17-27,2:3,0-4,Bucharest,
"Sat, 08 Nov 2014",AI,,IRE v SAF,29-15,2:2,4-0,"Lansdowne Rd, Dublin",
"Sat, 08 Nov 2014",AI,,FRA v FIJ,40-15,5:2,5-0,Marseille,
"Fri, 14 Nov 2014",AI,,CAN v SAM,13-23,1:2,0-4,Vannes,Y
"Sat, 15 Nov 2014",AI,,WAL v FIJ,17-13,3:1,4-1,"Millennium Stadium, Cardiff",
"Sat, 15 Nov 2014",AI,,SCO v NZL,16-24,1:2,0-4,"Murrayfield, Edinburgh",
"Sat, 15 Nov 2014",AI,,FRA v AUS,29-26,2:2,4-1,"Stade de France, Paris",
"Sat, 15 Nov 2014",AI,,ENG v SAF,28-31,3:3,1-4,"Twickenham, London",
"Sat, 15 Nov 2014",AI,,ITA v ARG,18-20,0:2,1-4,Genoa,
"Sat, 15 Nov 2014",,,ROM v JAP,18-13,0:1,4-1,Bucharest,
"Sat, 15 Nov 2014",AI,,USA v TON,12-40,2:5,0-5,"Kingsholm Stadium, Gloucester",Y
"Sun, 16 Nov 2014",AI,,IRE v GEO,49-7,6:1,5-0,"Lansdowne Rd, Dublin",
"Fri, 21 Nov 2014",AI,,USA v FIJ,14-20,2:3,1-4,Vannes,Y
"Sat, 22 Nov 2014",AI,,ENG v SAM,28-9,3:0,4-0,"Twickenham, London",
"Sat, 22 Nov 2014",AI,,SCO v TON,37-12,5:0,5-0,"Rugby Park, Kilmarnock",
"Sat, 22 Nov 2014",AI,,ITA v SAF,6-22,0:3,0-4,Padua,
"Sat, 22 Nov 2014",AI,,POR v NAM,29-20,4:2,5-0,Lisbon,
"Sat, 22 Nov 2014",AI,,IRE v AUS,26-23,2:3,4-1,"Lansdowne Rd, Dublin",
"Sat, 22 Nov 2014",AI,,WAL v NZL,16-34,1:5,0-5,"Millennium Stadium, Cardiff",
"Sat, 22 Nov 2014",,,ROM v CAN,18-9,0:0,4-0,Bucharest,
"Sat, 22 Nov 2014",AI,,FRA v ARG,13-18,1:0,1-4,"Stade de France, Paris",
"Sun, 23 Nov 2014",,,GEO v JAP,35-24,5:3,5-0,Tbilisi,
"Sat, 29 Nov 2014","AI,CC",e,ENG v AUS,26-17,2:2,4-0,"Twickenham, London",
"Sat, 29 Nov 2014",AI,,WAL v SAF,12-6,0:0,4-1,"Millennium Stadium, Cardiff",
"Fri, 06 Feb 2015",6N,1,WAL v ENG,16-21,1:2,1-4,"Millennium Stadium, Cardiff",
"Sat, 07 Feb 2015",6N,1,ITA v IRE,3-26,0:2,0-4,"Olympic Stadium, Rome",
"Sat, 07 Feb 2015",6N,1,FRA v SCO,15-8,0:1,4-1,"Stade de France, Paris",
"Sat, 14 Feb 2015",6N,2,ENG v ITA,47-17,6:3,5-0,"Twickenham, London",
"Sat, 14 Feb 2015",6N,2,IRE v FRA,18-11,0:1,4-1,"Lansdowne Rd, Dublin",
"Sun, 15 Feb 2015",6N,2,SCO v WAL,23-26,2:2,1-4,"Murrayfield, Edinburgh",
"Sat, 28 Feb 2015",6N,3,SCO v ITA,19-22,1:3,1-4,"Murrayfield, Edinburgh",
"Sat, 28 Feb 2015",6N,3,FRA v WAL,13-20,1:1,1-4,"Stade de France, Paris",
"Sun, 01 Mar 2015",6N,3,IRE v ENG,19-9,1:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 14 Mar 2015",6N,4,WAL v IRE,23-16,1:1,4-1,"Millennium Stadium, Cardiff",
"Sat, 14 Mar 2015","6N,CA",4,ENG v SCO,25-13,3:1,4-0,"Twickenham, London",
"Sun, 15 Mar 2015",6N,4,ITA v FRA,0-29,0:2,0-4,"Olympic Stadium, Rome",
"Sat, 21 Mar 2015",6N,5,ITA v WAL,20-61,2:8,0-5,"Olympic Stadium, Rome",
"Sat, 21 Mar 2015",6N,5,SCO v IRE,10-40,1:4,0-5,"Murrayfield, Edinburgh",
"Sat, 21 Mar 2015",6N,5,ENG v FRA,55-35,7:5,5-1,"Twickenham, London",
"Wed, 08 Jul 2015",,,SAM v NZL,16-25,1:1,0-0,Apia,
"Fri, 17 Jul 2015",RC,,NZL v ARG,39-18,5:2,5-0,"Rugby League Pk, Christchurch",
"Sat, 18 Jul 2015","RC,MP",A,AUS v SAF,24-20,3:2,4-1,"Suncorp Stadium, Brisbane",
"Sat, 25 Jul 2015",RC,,ARG v AUS,9-34,0:4,0-5,Mendoza,
"Sat, 25 Jul 2015","RC,FC",,SAF v NZL,20-27,2:3,1-4,"Ellis Park, Johannesburg",
"Sat, 08 Aug 2015","RC,BC",n,AUS v NZL,27-19,3:2,4-0,"Stadium Australia, Sydney",
"Sat, 08 Aug 2015",RC,,SAF v ARG,25-37,3:4,0-5,"Kings Park Stadium, Durban",
"Sat, 08 Aug 2015",WU,,WAL v IRE,21-35,3:5,0-5,"Millennium Stadium, Cardiff",
"Sat, 15 Aug 2015",WU,,ARG v SAF,12-26,0:2,0-4,"Velez Sarsfield, Buenos Aires",
"Sat, 15 Aug 2015",WU,,IRE v SCO,28-22,4:3,5-1,"Lansdowne Rd, Dublin",
"Sat, 15 Aug 2015",BC,n,NZL v AUS,41-13,5:1,5-0,"Eden Park, Auckland",
"Sat, 15 Aug 2015",WU,,ENG v FRA,19-14,3:1,4-1,"Twickenham, London",
"Sat, 22 Aug 2015",WU,,ITA v SCO,12-16,0:1,1-4,Torino,
"Sat, 22 Aug 2015",WU,,FRA v ENG,25-20,1:2,4-1,"Stade de France, Paris",
"Sat, 29 Aug 2015",WU,,IRE v WAL,10-16,1:1,1-4,"Lansdowne Rd, Dublin",
"Sat, 29 Aug 2015",WU,,SCO v ITA,48-7,6:1,5-0,"Murrayfield, Edinburgh",
"Sat, 05 Sep 2015",WU,,ENG v IRE,21-13,2:1,4-0,"Twickenham, London",
"Sat, 05 Sep 2015",WU,,WAL v ITA,23-19,1:2,4-1,"Millennium Stadium, Cardiff",
"Sat, 05 Sep 2015",WU,,FRA v SCO,19-16,1:1,4-1,"Stade de France, Paris",
"Sat, 05 Sep 2015",WU,,USA v AUS,10-47,1:7,0-5,Chicago,
"Fri, 18 Sep 2015",WC,Pool A,ENG v FIJ,35-11,4:1,5-0,"Twickenham, London",
"Sat, 19 Sep 2015",WC,Pool C,TON v GEO,10-17,1:2,1-4,"Kingsholm Stadium, Gloucester",Y
"Sat, 19 Sep 2015",WC,Pool B,SAF v JAP,32-34,4:3,2-4,Brighton Community Stadium,Y
"Sat, 19 Sep 2015",WC,Pool D,IRE v CAN,50-7,7:1,5-0,"Millennium Stadium, Cardiff",Y
"Sat, 19 Sep 2015",WC,Pool D,FRA v ITA,32-10,2:1,4-0,"Twickenham, London",Y
"Sun, 20 Sep 2015",WC,Pool B,SAM v USA,25-16,2:2,4-0,Brighton Community Stadium,Y
"Sun, 20 Sep 2015",WC,Pool C,NZL v ARG,26-16,2:1,4-0,"Wembley Stadium, London",Y
"Sun, 20 Sep 2015",WC,Pool A,WAL v URU,54-9,8:0,5-0,"Millennium Stadium, Cardiff",
"Wed, 23 Sep 2015",WC,Pool A,AUS v FIJ,28-13,3:1,4-0,"Millennium Stadium, Cardiff",Y
"Wed, 23 Sep 2015",WC,Pool B,SCO v JAP,45-10,5:1,5-0,"Kingsholm Stadium, Gloucester",Y
"Wed, 23 Sep 2015",WC,Pool D,FRA v ROM,38-11,5:1,5-0,"Olympic Stadium, London",Y
"Thu, 24 Sep 2015",WC,Pool C,NZL v NAM,58-14,9:1,5-0,"Olympic Stadium, London",Y
"Fri, 25 Sep 2015",WC,Pool C,ARG v GEO,54-9,7:0,5-0,"Kingsholm Stadium, Gloucester",Y
"Sat, 26 Sep 2015",WC,Pool B,SAF v SAM,46-6,6:0,5-0,"Villa Park, Birmingham",Y
"Sat, 26 Sep 2015",WC,Pool D,ITA v CAN,23-18,2:2,4-1,"Elland Road, Leeds",Y
"Sat, 26 Sep 2015",WC,Pool A,ENG v WAL,25-28,1:1,1-4,"Twickenham, London",
"Sun, 27 Sep 2015",WC,Pool A,AUS v URU,65-3,11:0,5-0,"Villa Park, Birmingham",Y
"Sun, 27 Sep 2015",WC,Pool B,SCO v USA,39-16,5:1,5-0,"Elland Road, Leeds",Y
"Sun, 27 Sep 2015",WC,Pool D,IRE v ROM,44-10,6:1,5-0,"Wembley Stadium, London",Y
"Tue, 29 Sep 2015",WC,Pool C,TON v NAM,35-21,5:3,5-0,"Sandy Park, Exeter",Y
